block,basefee,avg_basefee,users,decided_txs,included_txs,gas_used,pool_length
0,0.16,0.16,7249,5907,5907,124047000,0
1,0.16,0.16,5109,4150,4150,87150000,0
2,0.16,0.16,7229,5906,5906,124026000,0
3,0.16,0.16,7949,6523,6523,136983000,0
4,0.16,0.16,7623,6260,6260,131460000,0
5,0.16,0.16,8964,7358,7358,154518000,0
6,0.16,0.16,5685,4600,4600,96600000,0
7,0.16,0.16,8538,6941,6941,145761000,0
8,0.16,0.16,6052,4941,4941,103761000,0
9,0.16,0.16,5324,4393,4393,92253000,0
10,0.16,0.16,7484,6056,6056,127176000,0
11,0.16,0.16,6442,5298,5298,111258000,0
12,0.16,0.16,7493,6127,6127,128667000,0
13,0.16,0.16,9108,7428,7428,155988000,0
14,0.16,0.16,8712,7148,7148,150108000,0
15,0.16,0.16,6975,5724,5724,120204000,0
16,0.16,0.16,7785,6362,6362,133602000,0
17,0.16,0.16,4034,3310,3310,69510000,0
18,0.16,0.16,8492,6995,6995,146895000,0
19,0.16,0.16,3824,3087,3087,64827000,0
20,0.16,0.16,4762,3902,3902,81942000,0
21,0.16,0.16,8468,6903,6903,144963000,0
22,0.16,0.16,5756,4664,4664,97944000,0
23,0.16,0.16,8426,6850,6850,143850000,0
24,0.16,0.16,5865,4725,4725,99225000,0
25,0.16,0.16,5597,4573,4573,96033000,0
26,0.16,0.16,3199,2630,2630,55230000,0
27,0.16,0.16,5812,4804,4804,100884000,0
28,0.16,0.16,4851,3993,3993,83853000,0
29,0.16,0.16,5442,4478,4478,94038000,0
30,0.16,0.16,6383,5238,5238,109998000,0
31,0.16,0.16,6543,5353,5353,112413000,0
32,0.16,0.16,8984,7365,7365,154665000,0
33,0.16,0.16,6403,5224,5224,109704000,0
34,0.16,0.16,5366,4345,4345,91245000,0
35,0.16,0.16,3257,2643,2643,55503000,0
36,0.16,0.16,2778,2273,2273,47733000,0
37,0.16,0.16,5222,4286,4286,90006000,0
38,0.16,0.16,7704,6268,6268,131628000,0
39,0.16,0.16,9658,7866,7866,165186000,0
40,0.16,0.16,7837,6431,6431,135051000,0
41,0.16,0.16,7578,6194,6194,130074000,0
42,0.16,0.16,9519,7787,7787,163527000,0
43,0.16,0.16,6006,4882,4882,102522000,0
44,0.16,0.16,3501,2854,2854,59934000,0
45,0.16,0.16,5707,4640,4640,97440000,0
46,0.16,0.16,11449,9350,9350,196350000,0
47,0.1607552,0.160016068,6572,5404,5404,113484000,0
48,0.16,0.160015733,6858,5574,5574,117054000,0
49,0.16,0.160015412,8341,6815,6815,143115000,0
50,0.16,0.160015104,1358,1119,1119,23499000,0
51,0.16,0.160014807,6914,5648,5648,118608000,0
52,0.16,0.160014523,3361,2793,2793,58653000,0
53,0.16,0.160014249,5492,4472,4472,93912000,0
54,0.16,0.160013985,5708,4636,4636,97356000,0
55,0.16,0.16001373,6229,5078,5078,106638000,0
56,0.16,0.160013485,5293,4318,4318,90678000,0
57,0.16,0.160013249,8657,7104,7104,149184000,0
58,0.16,0.16001302,8175,6654,6654,139734000,0
59,0.16,0.1600128,8403,6879,6879,144459000,0
60,0.16,0.160012586,9710,7860,7860,165060000,0
61,0.16,0.16001238,7866,6420,6420,134820000,0
62,0.16,0.16001218,1938,1574,1574,33054000,0
63,0.16,0.160011987,8604,7080,7080,148680000,0
64,0.16,0.1600118,2592,2113,2113,44373000,0
65,0.16,0.160011618,6443,5256,5256,110376000,0
66,0.16,0.160011442,6144,5046,5046,105966000,0
67,0.16,0.160011271,5615,4567,4567,95907000,0
68,0.16,0.160011105,9036,7329,7329,153909000,0
69,0.16,0.160010944,5353,4334,4334,91014000,0
70,0.16,0.160010788,8299,6740,6740,141540000,0
71,0.16,0.160010636,8210,6730,6730,141330000,0
72,0.16,0.160010488,7666,6244,6244,131124000,0
73,0.16,0.160010345,8459,6882,6882,144522000,0
74,0.16,0.160010205,7598,6240,6240,131040000,0
75,0.16,0.160010069,6276,5090,5090,106890000,0
76,0.16,0.160009936,4773,3928,3928,82488000,0
77,0.16,0.160009807,9825,8012,8012,168252000,0
78,0.16,0.160009682,3981,3224,3224,67704000,0
79,0.16,0.160009559,5490,4518,4518,94878000,0
80,0.16,0.16000944,6367,5226,5226,109746000,0
81,0.16,0.160009323,9282,7581,7581,159201000,0
82,0.16,0.160009209,6546,5340,5340,112140000,0
83,0.16,0.160009098,12444,10248,10248,215208000,0
84,0.162364416,0.160037138,10978,8972,8972,188412000,0
85,0.16244339,0.160065447,8164,6668,6668,140028000,0
86,0.16,0.160064686,8846,7219,7219,151599000,0
87,0.16,0.160063942,7804,6359,6359,133539000,0
88,0.16,0.160063215,5061,4116,4116,86436000,0
89,0.16,0.160062505,6368,5177,5177,108717000,0
90,0.16,0.160061811,8267,6743,6743,141603000,0
91,0.16,0.160061131,4320,3540,3540,74340000,0
92,0.16,0.160060467,7617,6264,6264,131544000,0
93,0.16,0.160059817,4958,4053,4053,85113000,0
94,0.16,0.16005918,5574,4525,4525,95025000,0
95,0.16,0.160058557,8463,6907,6907,145047000,0
96,0.16,0.160057947,4818,3870,3870,81270000,0
97,0.16,0.16005735,5771,4700,4700,98700000,0
98,0.16,0.160056765,8960,7303,7303,153363000,0
99,0.16,0.160056191,7325,6023,6023,126483000,0
100,0.16,0.16005563,6368,5195,5195,109095000,0
101,0.16,0.16005563,7641,6278,6278,131838000,0
102,0.16,0.16005563,6108,4976,4976,104496000,0
103,0.16,0.16005563,8407,6829,6829,143409000,0
104,0.16,0.16005563,7940,6487,6487,136227000,0
105,0.16,0.16005563,7270,5940,5940,124740000,0
106,0.16,0.16005563,8106,6722,6722,141162000,0
107,0.16,0.16005563,5732,4698,4698,98658000,0
108,0.16,0.16005563,4053,3339,3339,70119000,0
109,0.16,0.16005563,3509,2882,2882,60522000,0
110,0.16,0.16005563,6170,5093,5093,106953000,0
111,0.16,0.16005563,5932,4779,4779,100359000,0
112,0.16,0.16005563,5510,4494,4494,94374000,0
113,0.16,0.16005563,9456,7693,7693,161553000,0
114,0.16,0.16005563,6279,5123,5123,107583000,0
115,0.16,0.16005563,6369,5199,5199,109179000,0
116,0.16,0.16005563,6536,5365,5365,112665000,0
117,0.16,0.16005563,4258,3515,3515,73815000,0
118,0.16,0.16005563,9075,7447,7447,156387000,0
119,0.16,0.16005563,7810,6406,6406,134526000,0
120,0.16,0.16005563,8344,6782,6782,142422000,0
121,0.16,0.16005563,6759,5507,5507,115647000,0
122,0.16,0.16005563,6912,5673,5673,119133000,0
123,0.16,0.16005563,4625,3743,3743,78603000,0
124,0.16,0.16005563,6648,5428,5428,113988000,0
125,0.16,0.16005563,8815,7242,7242,152082000,0
126,0.16,0.16005563,4357,3543,3543,74403000,0
127,0.16,0.16005563,5667,4662,4662,97902000,0
128,0.16,0.16005563,6219,5089,5089,106869000,0
129,0.16,0.16005563,8591,7007,7007,147147000,0
130,0.16,0.16005563,5965,4834,4834,101514000,0
131,0.16,0.16005563,9790,7997,7997,167937000,0
132,0.16,0.16005563,6572,5373,5373,112833000,0
133,0.16,0.16005563,5507,4487,4487,94227000,0
134,0.16,0.16005563,6127,5006,5006,105126000,0
135,0.16,0.16005563,6111,4986,4986,104706000,0
136,0.16,0.16005563,5519,4507,4507,94647000,0
137,0.16,0.16005563,6992,5741,5741,120561000,0
138,0.16,0.16005563,6089,4946,4946,103866000,0
139,0.16,0.16005563,6768,5538,5538,116298000,0
140,0.16,0.16005563,4793,3848,3848,80808000,0
141,0.16,0.16005563,2918,2370,2370,49770000,0
142,0.16,0.16005563,3421,2779,2779,58359000,0
143,0.16,0.16005563,10991,8966,8966,188286000,0
144,0.160067072,0.1600563,8545,6994,6994,146874000,0
145,0.16,0.1600563,8677,7059,7059,148239000,0
146,0.16,0.1600563,6639,5393,5393,113253000,0
147,0.16,0.160048748,6364,5234,5234,109914000,0
148,0.16,0.160048748,7496,6137,6137,128877000,0
149,0.16,0.160048748,9625,7830,7830,164430000,0
150,0.16,0.160048748,6164,5051,5051,106071000,0
151,0.16,0.160048748,5253,4280,4280,89880000,0
152,0.16,0.160048748,6525,5342,5342,112182000,0
153,0.16,0.160048748,8368,6842,6842,143682000,0
154,0.16,0.160048748,6295,5114,5114,107394000,0
155,0.16,0.160048748,6148,5011,5011,105231000,0
156,0.16,0.160048748,5799,4692,4692,98532000,0
