block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,124996664,4166,4166,7773836824.665327,7.773836824665327,0.8333110933333333
1,160000000,0.16,130226040,4340,4340,7792441435.852963,7.792441435852964,0.8681736
2,160000000,0.16,135394513,4513,4513,7729027101.0953,7.7290271010953,0.9026300866666667
3,160000000,0.16,140448724,4681,4681,7673085414.1587715,7.673085414158772,0.9363248266666667
4,160000000,0.16,145334532,4844,4844,7707140875.675968,7.707140875675968,0.96889688
5,160000000,0.16,150000000,5000,5000,7869945658.269852,7.8699456582698515,1.0
6,160000000,0.16,154385146,5146,5146,7640865359.43723,7.64086535943723,1.0292343066666667
7,160000000,0.16,158456405,5281,5281,7754540930.878108,7.754540930878108,1.0563760333333334
8,160000000,0.16,162155405,5405,5405,7654712544.537179,7.654712544537179,1.0810360333333333
9,160000000,0.16,165450000,5515,5515,7751561667.842366,7.751561667842366,1.103
10,160000000,0.16,168300000,5610,5610,7714889809.989524,7.714889809989524,1.122
11,160000000,0.16,170675689,5689,5689,7623990758.926621,7.623990758926621,1.1378379266666667
12,160051761,0.160051761,172547253,5751,5751,7689894385.110956,7.689894385110956,1.15031502
13,160284618,0.160284618,173903184,5796,5796,7801548204.638402,7.801548204638402,1.15935456
14,160683601,0.160683601,174725824,5824,5824,7872641642.538216,7.872641642538215,1.1648388266666667
15,161233491,0.161233491,174995833,5833,5833,7680981413.797373,7.680981413797372,1.1666388866666666
16,161918701,0.161918701,174725824,5824,5824,7823434832.607451,7.823434832607451,1.1648388266666667
17,162723348,0.162723348,173903184,5796,5796,7794473114.606798,7.794473114606798,1.15935456
18,163631128,0.163631128,172547253,5751,5751,7717608431.904018,7.717608431904019,1.15031502
19,164625382,0.164625382,170675689,5689,5689,7744275589.825447,7.744275589825447,1.1378379266666667
20,165689120,0.16568912,168300000,5610,5610,7780609095.773042,7.780609095773042,1.122
21,166805008,0.166805008,165450000,5515,5515,7772537123.494138,7.772537123494137,1.103
22,167955442,0.167955442,162155405,5405,5405,7734720923.28238,7.73472092328238,1.0810360333333333
23,169122623,0.169122623,158456405,5281,5281,7714700760.7272625,7.714700760727262,1.0563760333333334
24,170288671,0.170288671,154385146,5146,5146,7846188840.736552,7.846188840736552,1.0292343066666667
25,171435708,0.171435708,150000000,5000,5000,7698279231.654014,7.698279231654014,1.0
26,172704777,0.172704777,145334532,4844,4844,7651365824.212576,7.651365824212576,0.96889688
27,174052822,0.174052822,140448724,4681,4681,7695821549.370437,7.695821549370437,0.9363248266666667
28,175434848,0.175434848,135394513,4513,4513,7674477047.605687,7.674477047605687,0.9026300866666667
29,176804203,0.176804203,130226040,4340,4340,7725208146.583714,7.7252081465837135,0.8681736
30,178113013,0.178113013,124996664,4166,4166,7743197571.423857,7.743197571423857,0.8333110933333333
31,179312754,0.179312754,119771976,3992,3992,7784486805.819573,7.784486805819573,0.79847984
32,180355067,0.180355067,114603820,3820,3820,7677305829.5447235,7.677305829544723,0.7640254666666667
33,181192531,0.181192531,109548255,3651,3651,7776343500.105319,7.776343500105319,0.7303217
34,181779697,0.181779697,104660928,3488,3488,7691738235.117736,7.691738235117736,0.69773952
35,182074093,0.182074093,99999999,3333,3333,7675712982.757596,7.675712982757596,0.66666666
36,182037348,0.182037348,95610000,3187,3187,7685343600.719687,7.685343600719688,0.6374
37,181636217,0.181636217,91542204,3051,3051,7731745159.743653,7.731745159743653,0.61028136
38,180843611,0.180843611,87840000,2928,2928,7749506944.414631,7.749506944414631,0.5856
39,179639425,0.179639425,84548454,2818,2818,7712420717.462069,7.712420717462068,0.56365636
40,178011273,0.178011273,81698169,2723,2723,7734096712.791256,7.734096712791256,0.54465446
41,175954996,0.175954996,79322644,2644,2644,7773325510.79557,7.77332551079557,0.5288176266666667
42,173474828,0.173474828,77445486,2581,2581,7727350093.329434,7.727350093329434,0.51630324
43,170583406,0.170583406,76090144,2536,2536,7750702610.460542,7.750702610460542,0.5072676266666667
44,167301404,0.167301404,75272509,2509,2509,7817874315.694645,7.817874315694645,0.5018167266666667
45,163656919,0.163656919,75000000,2500,2500,7651022742.111456,7.651022742111456,0.5
46,160000000,0.16,75272509,2509,2509,7707715668.101097,7.707715668101097,0.5018167266666667
47,160000000,0.16,76090144,2536,2536,7728119618.457276,7.728119618457276,0.5072676266666667
48,160000000,0.16,77445486,2581,2581,7682955055.227414,7.682955055227414,0.51630324
49,160000000,0.16,79322644,2644,2644,7697261104.040924,7.6972611040409245,0.5288176266666667
50,160000000,0.16,81698169,2723,2723,7797085567.166436,7.7970855671664365,0.54465446
51,160000000,0.16,84548454,2818,2818,7750619235.05101,7.75061923505101,0.56365636
52,160000000,0.16,87840000,2928,2928,7686943366.58497,7.686943366584971,0.5856
53,160000000,0.16,91542204,3051,3051,7638486023.442005,7.638486023442005,0.61028136
54,160000000,0.16,95610000,3187,3187,7786448564.097771,7.78644856409777,0.6374
55,160000000,0.16,99999999,3333,3333,7736011873.711685,7.736011873711685,0.66666666
56,160000000,0.16,104660928,3488,3488,7685702921.899056,7.685702921899057,0.69773952
57,160000000,0.16,109548255,3651,3651,7767248811.030022,7.767248811030021,0.7303217
58,160000000,0.16,114603820,3820,3820,7755209853.056247,7.755209853056247,0.7640254666666667
59,160000000,0.16,119771976,3992,3992,7665361076.545045,7.665361076545045,0.79847984
60,160000000,0.16,124996664,4166,4166,7724450587.7347355,7.724450587734736,0.8333110933333333
61,160000000,0.16,130226040,4340,4340,7838244564.275286,7.838244564275286,0.8681736
62,160000000,0.16,135394513,4513,4513,7686290147.04838,7.68629014704838,0.9026300866666667
63,160000000,0.16,140448724,4681,4681,7856242468.473018,7.856242468473018,0.9363248266666667
64,160000000,0.16,145334532,4844,4844,7714143870.665752,7.714143870665753,0.96889688
65,160000000,0.16,149999994,4999,4999,7756068973.823435,7.756068973823435,0.99999996
66,160000000,0.16,154385146,5146,5146,7812258806.471335,7.812258806471335,1.0292343066666667
67,160000000,0.16,158456405,5281,5281,7828350335.775318,7.828350335775318,1.0563760333333334
