block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,124996664,4166,4166,7753736780.551693,7.753736780551693,0.8333110933333333
1,160000000,0.16,130226040,4340,4340,7814426798.232632,7.814426798232632,0.8681736
2,160000000,0.16,135394513,4513,4513,7767592188.584348,7.767592188584348,0.9026300866666667
3,160000000,0.16,140448724,4681,4681,7764901982.392766,7.764901982392766,0.9363248266666667
4,160000000,0.16,145334532,4844,4844,7678759615.473585,7.678759615473585,0.96889688
5,160000000,0.16,150000000,5000,5000,7730090815.685517,7.730090815685517,1.0
6,160000000,0.16,154385146,5146,5146,7746648755.01019,7.74664875501019,1.0292343066666667
7,160000000,0.16,158456405,5281,5281,7743096279.588171,7.743096279588171,1.0563760333333334
8,160000000,0.16,162155405,5405,5405,7814068814.780681,7.814068814780681,1.0810360333333333
9,160000000,0.16,165450000,5515,5515,7769422756.1546335,7.769422756154634,1.103
10,160000000,0.16,168300000,5610,5610,7721041716.194236,7.721041716194236,1.122
11,160000000,0.16,170675689,5689,5689,7717083110.863586,7.7170831108635864,1.1378379266666667
12,160025880,0.16002588,172547253,5751,5751,7805839191.759922,7.805839191759922,1.15031502
13,160142290,0.16014229,173903184,5796,5796,7742238705.172615,7.742238705172615,1.15935456
14,160341604,0.160341604,174725824,5824,5824,7737572004.38175,7.73757200438175,1.1648388266666667
15,160615964,0.160615964,174995833,5833,5833,7786845351.5531435,7.7868453515531435,1.1666388866666666
16,160957256,0.160957256,174725824,5824,5824,7816141709.867929,7.81614170986793,1.1648388266666667
17,161357190,0.16135719,173903184,5796,5796,7789741482.765034,7.7897414827650335,1.15935456
18,161807269,0.161807269,172547253,5751,5751,7676711334.646716,7.676711334646716,1.15031502
19,162298855,0.162298855,170675689,5689,5689,7740882839.403398,7.7408828394033975,1.1378379266666667
20,162823207,0.162823207,168300000,5610,5610,7694597600.499912,7.694597600499912,1.122
21,163371500,0.1633715,165450000,5515,5515,7756238630.269956,7.756238630269956,1.103
22,163934877,0.163934877,162155405,5405,5405,7659728289.190737,7.659728289190737,1.0810360333333333
23,164504497,0.164504497,158456405,5281,5281,7821709210.558244,7.821709210558244,1.0563760333333334
24,165071601,0.165071601,154385146,5146,5146,7718046766.750559,7.718046766750559,1.0292343066666667
25,165627549,0.165627549,150000000,5000,5000,7693574882.569928,7.693574882569928,1.0
26,166240586,0.166240586,145334532,4844,4844,7790713521.790635,7.790713521790635,0.96889688
27,166889380,0.16688938,140448724,4681,4681,7802689531.255708,7.802689531255708,0.9363248266666667
28,167551953,0.167551953,135394513,4513,4513,7627800070.602391,7.627800070602391,0.9026300866666667
29,168205865,0.168205865,130226040,4340,4340,7766697576.761947,7.766697576761946,0.8681736
30,168828445,0.168828445,124996664,4166,4166,7814773976.948756,7.814773976948756,0.8333110933333333
31,169397045,0.169397045,119771976,3992,3992,7703299243.094904,7.703299243094904,0.79847984
32,169889382,0.169889382,114603820,3820,3820,7658726402.179555,7.658726402179555,0.7640254666666667
33,170283816,0.170283816,109548255,3651,3651,7723780185.825793,7.7237801858257935,0.7303217
34,170559723,0.170559723,104660928,3488,3488,7806003355.20382,7.806003355203821,0.69773952
35,170697835,0.170697835,99999999,3333,3333,7586055997.307196,7.586055997307196,0.66666666
36,170680610,0.17068061,95610000,3187,3187,7853715194.418273,7.853715194418273,0.6374
37,170492557,0.170492557,91542204,3051,3051,7789323769.502945,7.789323769502945,0.61028136
38,170120568,0.170120568,87840000,2928,2928,7705577885.232446,7.7055778852324455,0.5856
39,169554175,0.169554175,84548454,2818,2818,7647389330.331809,7.6473893303318095,0.56365636
40,168785802,0.168785802,81698169,2723,2723,7828579481.878332,7.828579481878332,0.54465446
41,167810947,0.167810947,79322644,2644,2644,7935474691.204623,7.9354746912046235,0.5288176266666667
42,166628260,0.16662826,77445486,2581,2581,7725690847.176668,7.7256908471766685,0.51630324
43,165239607,0.165239607,76090144,2536,2536,7637838905.662496,7.637838905662496,0.5072676266666667
44,163650013,0.163650013,75272509,2509,2509,7744100131.739426,7.744100131739426,0.5018167266666667
45,161867541,0.161867541,75000000,2500,2500,7732767517.286488,7.732767517286487,0.5
46,160000000,0.16,75272509,2509,2509,7710717184.728488,7.710717184728488,0.5018167266666667
47,160000000,0.16,76090144,2536,2536,7781096465.936026,7.7810964659360256,0.5072676266666667
48,160000000,0.16,77445486,2581,2581,7563200903.227649,7.563200903227648,0.51630324
49,160000000,0.16,79322644,2644,2644,7868930146.0637245,7.868930146063724,0.5288176266666667
50,160000000,0.16,81698169,2723,2723,7892872716.859403,7.892872716859403,0.54465446
51,160000000,0.16,84548454,2818,2818,7844129516.949621,7.8441295169496215,0.56365636
52,160000000,0.16,87840000,2928,2928,7672618261.177805,7.672618261177805,0.5856
53,160000000,0.16,91542204,3051,3051,7742422208.62506,7.74242220862506,0.61028136
54,160000000,0.16,95610000,3187,3187,7763696660.989842,7.763696660989843,0.6374
55,160000000,0.16,99999999,3333,3333,7605949704.697708,7.605949704697708,0.66666666
56,160000000,0.16,104660928,3488,3488,7674074410.626579,7.674074410626579,0.69773952
57,160000000,0.16,109548255,3651,3651,7640647816.678935,7.640647816678935,0.7303217
58,160000000,0.16,114603820,3820,3820,7690261244.677171,7.6902612446771705,0.7640254666666667
59,160000000,0.16,119771976,3992,3992,7638593144.930102,7.638593144930103,0.79847984
60,160000000,0.16,124996664,4166,4166,7741228114.924142,7.741228114924142,0.8333110933333333
61,160000000,0.16,130226040,4340,4340,7741264665.643417,7.741264665643417,0.8681736
62,160000000,0.16,135394513,4513,4513,7775402115.8271265,7.775402115827126,0.9026300866666667
63,160000000,0.16,140448724,4681,4681,7833225669.2395735,7.833225669239574,0.9363248266666667
64,160000000,0.16,145334532,4844,4844,7847010666.658647,7.8470106666586465,0.96889688
65,160000000,0.16,149999994,4999,4999,7592734356.346123,7.5927343563461225,0.99999996
66,160000000,0.16,154385146,5146,5146,7764710447.712431,7.764710447712431,1.0292343066666667
67,160000000,0.16,158456405,5281,5281,7906436608.39096,7.90643660839096,1.0563760333333334
68,160000000,0.16,162155405,5405,5405,7655803664.52769,7.65580366452769,1.0810360333333333
69,160000000,0.16,165450000,5515,5515,7723949555.6859045,7.723949555685905,1.103
70,160000000,0.16,168300000,5610,5610,7736207146.701614,7.736207146701615,1.122
71,160000000,0.16,170675689,5689,5689,7709065678.790337,7.709065678790337,1.1378379266666667
72,160000000,0.16,172547253,5751,5751,7850441493.0309305,7.850441493030931,1.15031502
73,160000000,0.16,173903184,5796,5796,7615653503.447605,7.615653503447605,1.15935456
74,160000000,0.16,174725824,5824,5824,7702187445.285809,7.702187445285809,1.1648388266666667
75,160000000,0.16,174995833,5833,5833,7636622161.530902,7.636622161530902,1.1666388866666666
76,160000000,0.16,174725824,5824,5824,7793007129.168334,7.793007129168334,1.1648388266666667
77,160000000,0.16,173903184,5796,5796,7753811535.465399,7.753811535465399,1.15935456
78,160000000,0.16,172547253,5751,5751,7766672201.415807,7.7666722014158065,1.15031502
79,160000000,0.16,170675689,5689,5689,7756395027.454486,7.756395027454486,1.1378379266666667
80,160000000,0.16,168300000,5610,5610,7845180182.362196,7.845180182362196,1.122
81,160129561,0.160129561,165450000,5515,5515,7698755231.848819,7.698755231848819,1.103
82,160389016,0.160389016,162155405,5405,5405,7791276609.691797,7.791276609691797,1.0810360333333333
83,160761393,0.160761393,158456405,5281,5281,7796372111.92559,7.7963721119255895,1.0563760333333334
84,161228631,0.161228631,154385146,5146,5146,7804643445.237148,7.804643445237148,1.0292343066666667
85,161771636,0.161771636,150000000,5000,5000,7727620953.181557,7.727620953181557,1.0
86,162370401,0.162370401,145334532,4844,4844,7821790678.1113,7.8217906781113005,0.96889688
87,163004091,0.163004091,140448724,4681,4681,7853758893.988524,7.853758893988524,0.9363248266666667
88,163651239,0.163651239,135394513,4513,4513,7825356886.411452,7.825356886411452,0.9026300866666667
89,164289928,0.164289928,130226040,4340,4340,7676777039.759263,7.676777039759263,0.8681736
90,164898014,0.164898014,124996664,4166,4166,7762298874.022607,7.762298874022607,0.8333110933333333
91,165453377,0.165453377,119771976,3992,3992,7778306930.819873,7.7783069308198725,0.79847984
92,165934252,0.165934252,114603820,3820,3820,7766178303.283616,7.766178303283616,0.7640254666666667
93,166319503,0.166319503,109548255,3651,3651,7738802493.903212,7.738802493903211,0.7303217
94,166588987,0.166588987,104660928,3488,3488,7740829138.178389,7.7408291381783885,0.69773952
95,166723884,0.166723884,99999999,3333,3333,7657936691.975369,7.65793669197537,0.66666666
96,166707060,0.16670706,95610000,3187,3187,7704756448.693292,7.704756448693292,0.6374
97,166523385,0.166523385,91542204,3051,3051,7689731413.456748,7.689731413456748,0.61028136
98,166160056,0.166160056,87840000,2928,2928,7774531593.203071,7.77453159320307,0.5856
99,165606849,0.165606849,84548454,2818,2818,7846095919.199707,7.846095919199707,0.56365636
100,164856364,0.164856364,81698169,2723,2723,7764812976.14555,7.76481297614555,0.54465446
101,163904204,0.163904204,79322644,2644,2644,7820510973.421402,7.820510973421402,0.5288176266666667
102,162749050,0.16274905,77445486,2581,2581,7720997501.585683,7.720997501585683,0.51630324
103,161392726,0.161392726,76090144,2536,2536,7742823978.03563,7.74282397803563,0.5072676266666667
104,160000000,0.16,75272509,2509,2509,7841190233.277494,7.841190233277494,0.5018167266666667
105,160000000,0.16,75000000,2500,2500,7747546169.052357,7.747546169052357,0.5
106,160000000,0.16,75272509,2509,2509,7704620167.023033,7.704620167023033,0.5018167266666667
107,160000000,0.16,76090144,2536,2536,7764075314.654387,7.764075314654387,0.5072676266666667
108,160000000,0.16,77445486,2581,2581,7744091536.756569,7.744091536756569,0.51630324
109,160000000,0.16,79322644,2644,2644,7766591891.111454,7.766591891111454,0.5288176266666667
110,160000000,0.16,81698169,2723,2723,7718838800.401095,7.7188388004010955,0.54465446
111,160000000,0.16,84548454,2818,2818,7703743196.205128,7.703743196205128,0.56365636
112,160000000,0.16,87840000,2928,2928,7737835663.887037,7.737835663887037,0.5856
113,160000000,0.16,91542204,3051,3051,7645462262.555029,7.645462262555029,0.61028136
114,160000000,0.16,95610000,3187,3187,7860736130.03416,7.86073613003416,0.6374
115,160000000,0.16,99999999,3333,3333,7762154997.908135,7.7621549979081355,0.66666666
116,160000000,0.16,104660928,3488,3488,7856782211.122828,7.856782211122828,0.69773952
117,160000000,0.16,109548255,3651,3651,7869270390.761099,7.869270390761099,0.7303217
118,160000000,0.16,114603820,3820,3820,7729272979.083353,7.729272979083353,0.7640254666666667
119,160000000,0.16,119771976,3992,3992,7810596610.520785,7.810596610520785,0.79847984
120,160000000,0.16,124996664,4166,4166,7669220306.35093,7.6692203063509305,0.8333110933333333
121,160000000,0.16,130226040,4340,4340,7691015968.467929,7.691015968467929,0.8681736
122,160000000,0.16,135394513,4513,4513,7758353052.664867,7.758353052664868,0.9026300866666667
123,160000000,0.16,140448724,4681,4681,7856250153.590899,7.856250153590899,0.9363248266666667
124,160000000,0.16,145334532,4844,4844,7737896020.813566,7.737896020813566,0.96889688
125,160000000,0.16,149999994,4999,4999,7752634460.626924,7.752634460626924,0.99999996
126,160000000,0.16,154385146,5146,5146,7790663411.777567,7.790663411777567,1.0292343066666667
127,160000000,0.16,158456405,5281,5281,7755067872.081588,7.755067872081588,1.0563760333333334
128,160000000,0.16,162155405,5405,5405,7776516073.502809,7.776516073502808,1.0810360333333333
129,160000000,0.16,165450000,5515,5515,7681390956.848256,7.681390956848256,1.103
130,160000000,0.16,168300000,5610,5610,7766674413.761891,7.7666744137618915,1.122
131,160000000,0.16,170675689,5689,5689,7712656200.335701,7.712656200335701,1.1378379266666667
132,160000000,0.16,172547253,5751,5751,7708790448.1792755,7.7087904481792755,1.15031502
133,160000000,0.16,173903184,5796,5796,7749986514.500077,7.749986514500077,1.15935456
134,160000000,0.16,174725824,5824,5824,7728798706.146666,7.728798706146666,1.1648388266666667
135,160000000,0.16,174995833,5833,5833,7714725897.979129,7.714725897979129,1.1666388866666666
136,160000000,0.16,174725824,5824,5824,7755830968.502023,7.755830968502023,1.1648388266666667
137,160000000,0.16,173903184,5796,5796,7762414737.735656,7.762414737735655,1.15935456
138,160000000,0.16,172547253,5751,5751,7752265475.02456,7.75226547502456,1.15031502
139,160000000,0.16,170675689,5689,5689,7849608465.822522,7.849608465822522,1.1378379266666667
140,160000000,0.16,168300000,5610,5610,7801938770.952208,7.801938770952208,1.122
141,160129561,0.160129561,165450000,5515,5515,7773553422.637058,7.773553422637058,1.103
142,160389016,0.160389016,162155405,5405,5405,7732206237.47025,7.73220623747025,1.0810360333333333
143,160761393,0.160761393,158456405,5281,5281,7616021791.475006,7.616021791475006,1.0563760333333334
144,161228631,0.161228631,154385146,5146,5146,7851642251.30982,7.85164225130982,1.0292343066666667
145,161771636,0.161771636,150000000,5000,5000,7744036580.185158,7.744036580185158,1.0
146,162370401,0.162370401,145334532,4844,4844,7730334853.694666,7.730334853694666,0.96889688
147,163004091,0.163004091,140448724,4681,4681,7740325125.370225,7.740325125370225,0.9363248266666667
148,163651239,0.163651239,135394513,4513,4513,7709492979.137705,7.709492979137705,0.9026300866666667
149,164289928,0.164289928,130226040,4340,4340,7787639308.690064,7.787639308690064,0.8681736
150,164898014,0.164898014,124996664,4166,4166,7733219935.472552,7.733219935472552,0.8333110933333333
151,165453377,0.165453377,119771976,3992,3992,7679615367.648247,7.679615367648247,0.79847984
152,165934252,0.165934252,114603820,3820,3820,7662276723.274986,7.662276723274986,0.7640254666666667
153,166319503,0.166319503,109548255,3651,3651,7760854861.367617,7.7608548613676165,0.7303217
154,166588987,0.166588987,104660928,3488,3488,7586398048.661343,7.5863980486613425,0.69773952
155,166723884,0.166723884,99999999,3333,3333,7803413787.708327,7.803413787708327,0.66666666
156,166707060,0.16670706,95610000,3187,3187,7745776493.580876,7.745776493580876,0.6374
157,166523385,0.166523385,91542204,3051,3051,7665343375.121864,7.665343375121864,0.61028136
158,166160056,0.166160056,87840000,2928,2928,7702381359.622976,7.702381359622977,0.5856
159,165606849,0.165606849,84548454,2818,2818,7706933699.330186,7.706933699330186,0.56365636
160,164856364,0.164856364,81698169,2723,2723,7567830867.829556,7.5678308678295565,0.54465446
161,163904204,0.163904204,79322644,2644,2644,7921384639.195089,7.9213846391950895,0.5288176266666667
162,162749050,0.16274905,77445486,2581,2581,7795822757.16379,7.79582275716379,0.51630324
163,161392726,0.161392726,76090144,2536,2536,7728373498.996785,7.728373498996786,0.5072676266666667
164,160000000,0.16,75272509,2509,2509,7730154315.571586,7.7301543155715855,0.5018167266666667
165,160000000,0.16,75000000,2500,2500,7733020629.275303,7.733020629275303,0.5
166,160000000,0.16,75272509,2509,2509,7746251072.50396,7.746251072503959,0.5018167266666667
167,160000000,0.16,76090144,2536,2536,7559433889.636709,7.5594338896367095,0.5072676266666667
168,160000000,0.16,77445486,2581,2581,7825299013.093953,7.825299013093953,0.51630324
169,160000000,0.16,79322644,2644,2644,7523077034.6744,7.5230770346744,0.5288176266666667
170,160000000,0.16,81698169,2723,2723,7661110329.669821,7.661110329669821,0.54465446
171,160000000,0.16,84548454,2818,2818,7675898605.192732,7.675898605192732,0.56365636
172,160000000,0.16,87840000,2928,2928,7819422780.482157,7.8194227804821566,0.5856
173,160000000,0.16,91542204,3051,3051,7849340034.299757,7.849340034299757,0.61028136
174,160000000,0.16,95610000,3187,3187,7850100377.805438,7.850100377805438,0.6374
175,160000000,0.16,99999999,3333,3333,7699573511.994009,7.699573511994009,0.66666666
176,160000000,0.16,104660928,3488,3488,7726588578.880408,7.726588578880408,0.69773952
177,160000000,0.16,109548255,3651,3651,7663122561.637602,7.663122561637602,0.7303217
178,160000000,0.16,114603820,3820,3820,7721943934.914984,7.721943934914984,0.7640254666666667
179,160000000,0.16,119771976,3992,3992,7677897005.545541,7.677897005545541,0.79847984
180,160000000,0.16,124996664,4166,4166,7640756839.334023,7.640756839334023,0.8333110933333333
181,160000000,0.16,130226040,4340,4340,7685607736.60274,7.685607736602741,0.8681736
182,160000000,0.16,135394513,4513,4513,7817953815.437574,7.8179538154375745,0.9026300866666667
183,160000000,0.16,140448724,4681,4681,7775853801.969373,7.775853801969372,0.9363248266666667
184,160000000,0.16,145334532,4844,4844,7712617757.8164,7.7126177578164,0.96889688
185,160000000,0.16,149999994,4999,4999,7670399247.144109,7.6703992471441085,0.99999996
186,160000000,0.16,154385146,5146,5146,7806116844.980513,7.8061168449805125,1.0292343066666667
187,160000000,0.16,158456405,5281,5281,7790887664.902085,7.790887664902085,1.0563760333333334
188,160000000,0.16,162155405,5405,5405,7787504674.028575,7.787504674028575,1.0810360333333333
189,160000000,0.16,165450000,5515,5515,7809615663.5394,7.8096156635394,1.103
190,160000000,0.16,168300000,5610,5610,7697597156.478648,7.697597156478648,1.122
191,160000000,0.16,170675689,5689,5689,7688426909.214004,7.688426909214003,1.1378379266666667
192,160000000,0.16,172547253,5751,5751,7692230407.647702,7.692230407647703,1.15031502
193,160000000,0.16,173903184,5796,5796,7706265908.621551,7.706265908621551,1.15935456
194,160000000,0.16,174725824,5824,5824,7724242945.749607,7.724242945749607,1.1648388266666667
195,160000000,0.16,174995833,5833,5833,7758946773.199804,7.7589467731998045,1.1666388866666666
196,160000000,0.16,174725824,5824,5824,7743804513.432828,7.743804513432828,1.1648388266666667
197,160000000,0.16,173903184,5796,5796,7713474013.288882,7.713474013288883,1.15935456
198,160000000,0.16,172547253,5751,5751,7705363146.608848,7.705363146608848,1.15031502
199,160000000,0.16,170675689,5689,5689,7731517818.667011,7.731517818667011,1.1378379266666667
200,160000000,0.16,168300000,5610,5610,7826043766.218042,7.826043766218042,1.122
201,160129561,0.160129561,165450000,5515,5515,7766111441.474132,7.7661114414741315,1.103
202,160389016,0.160389016,162155405,5405,5405,7756689067.949585,7.756689067949585,1.0810360333333333
203,160761393,0.160761393,158456405,5281,5281,7727642291.615972,7.727642291615972,1.0563760333333334
204,161228631,0.161228631,154385146,5146,5146,7755693070.32277,7.75569307032277,1.0292343066666667
205,161771636,0.161771636,150000000,5000,5000,7711804182.853505,7.7118041828535056,1.0
206,162370401,0.162370401,145334532,4844,4844,7875088913.55003,7.87508891355003,0.96889688
207,163004091,0.163004091,140448724,4681,4681,7774196998.119392,7.774196998119392,0.9363248266666667
208,163651239,0.163651239,135394513,4513,4513,7730542499.946803,7.730542499946803,0.9026300866666667
209,164289928,0.164289928,130226040,4340,4340,7689203977.4416065,7.689203977441607,0.8681736
210,164898014,0.164898014,124996664,4166,4166,7741403499.039506,7.741403499039506,0.8333110933333333
211,165453377,0.165453377,119771976,3992,3992,7762642722.185967,7.7626427221859675,0.79847984
212,165934252,0.165934252,114603820,3820,3820,7622129433.274787,7.622129433274787,0.7640254666666667
213,166319503,0.166319503,109548255,3651,3651,7741423901.346462,7.7414239013464625,0.7303217
214,166588987,0.166588987,104660928,3488,3488,7722058687.921533,7.722058687921533,0.69773952
215,166723884,0.166723884,99999999,3333,3333,7795091003.807959,7.795091003807959,0.66666666
216,166707060,0.16670706,95610000,3187,3187,7831576947.157295,7.831576947157295,0.6374
217,166523385,0.166523385,91542204,3051,3051,7711897644.450489,7.711897644450489,0.61028136
218,166160056,0.166160056,87840000,2928,2928,7736131591.157525,7.736131591157525,0.5856
219,165606849,0.165606849,84548454,2818,2818,7734367188.626776,7.734367188626775,0.56365636
220,164856364,0.164856364,81698169,2723,2723,7714133381.045264,7.714133381045264,0.54465446
221,163904204,0.163904204,79322644,2644,2644,7668347961.658897,7.668347961658897,0.5288176266666667
222,162749050,0.16274905,77445486,2581,2581,7693680472.212124,7.693680472212124,0.51630324
223,161392726,0.161392726,76090144,2536,2536,7690055921.450092,7.690055921450092,0.5072676266666667
224,160000000,0.16,75272509,2509,2509,7816728080.663918,7.816728080663918,0.5018167266666667
225,160000000,0.16,75000000,2500,2500,7873857672.606235,7.873857672606235,0.5
226,160000000,0.16,75272509,2509,2509,7736671466.316628,7.736671466316628,0.5018167266666667
227,160000000,0.16,76090144,2536,2536,7678145038.677331,7.678145038677331,0.5072676266666667
228,160000000,0.16,77445486,2581,2581,7774570491.791278,7.774570491791278,0.51630324
229,160000000,0.16,79322644,2644,2644,7750209307.063574,7.750209307063574,0.5288176266666667
230,160000000,0.16,81698169,2723,2723,7766262802.387836,7.766262802387836,0.54465446
231,160000000,0.16,84548454,2818,2818,7672899039.397844,7.672899039397844,0.56365636
232,160000000,0.16,87840000,2928,2928,7697775126.968965,7.697775126968964,0.5856
233,160000000,0.16,91542204,3051,3051,7684991476.977892,7.684991476977892,0.61028136
234,160000000,0.16,95610000,3187,3187,7701136248.439034,7.701136248439035,0.6374
235,160000000,0.16,99999999,3333,3333,7778624311.898954,7.778624311898954,0.66666666
