block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,124996664,4166,4166,7709125082.94431,7.70912508294431,0.8333110933333333
1,160000000,0.16,130226040,4340,4340,7780128672.657516,7.780128672657516,0.8681736
2,160000000,0.16,135394513,4513,4513,7647358789.346863,7.647358789346863,0.9026300866666667
3,160000000,0.16,140448724,4681,4681,7837879263.566472,7.837879263566472,0.9363248266666667
4,160000000,0.16,145334532,4844,4844,7746353111.285672,7.746353111285672,0.96889688
5,160000000,0.16,150000000,5000,5000,7798627531.043573,7.798627531043573,1.0
6,160000000,0.16,154385146,5146,5146,7789383149.123231,7.789383149123231,1.0292343066666667
7,160233874,0.160233874,158456405,5281,5281,7876823520.401744,7.876823520401744,1.0563760333333334
8,160685541,0.160685541,162155405,5405,5405,7796237087.428125,7.796237087428126,1.0810360333333333
9,161336606,0.161336606,165450000,5515,5515,7782445794.64708,7.782445794647081,1.103
10,162167489,0.162167489,168300000,5610,5610,7790250817.177826,7.790250817177826,1.122
11,163156710,0.16315671,170675689,5689,5689,7719891601.436967,7.7198916014369665,1.1378379266666667
12,164281169,0.164281169,172547253,5751,5751,7767648232.933289,7.767648232933289,1.15031502
13,165515865,0.165515865,173903184,5796,5796,7731760535.241672,7.731760535241672,1.15935456
14,166834650,0.16683465,174725824,5824,5824,7772550344.841946,7.772550344841946,1.1648388266666667
15,168209691,0.168209691,174995833,5833,5833,7823126638.782436,7.823126638782436,1.1666388866666666
16,169611204,0.169611204,174725824,5824,5824,7834346746.594437,7.834346746594437,1.1648388266666667
17,171009129,0.171009129,173903184,5796,5796,7739886038.389565,7.739886038389566,1.15935456
18,172371683,0.172371683,172547253,5751,5751,7760083395.0526495,7.760083395052649,1.15031502
19,173667185,0.173667185,170675689,5689,5689,7645263735.114531,7.645263735114531,1.1378379266666667
20,174864081,0.174864081,168300000,5610,5610,7816174024.6206045,7.816174024620604,1.122
21,175930751,0.175930751,165450000,5515,5515,7737045274.223951,7.737045274223951,1.103
22,176836794,0.176836794,162155405,5405,5405,7603746355.722252,7.603746355722252,1.0810360333333333
23,177553301,0.177553301,158456405,5281,5281,7814410247.972738,7.814410247972738,1.0563760333333334
24,178053788,0.178053788,154385146,5146,5146,7763837515.991405,7.763837515991405,1.0292343066666667
25,178314051,0.178314051,150000000,5000,5000,7708387261.382014,7.708387261382014,1.0
26,178314051,0.178314051,145334532,4844,4844,7680737826.034874,7.680737826034874,0.96889688
27,178036744,0.178036744,140448724,4681,4681,7780989119.920508,7.780989119920508,0.9363248266666667
28,177469917,0.177469917,135394513,4513,4513,7696018616.316627,7.696018616316627,0.9026300866666667
29,176605905,0.176605905,130226040,4340,4340,7827146088.515494,7.827146088515494,0.8681736
30,175441838,0.175441838,124996664,4166,4166,7774749963.374048,7.774749963374048,0.8333110933333333
31,173979627,0.173979627,119771976,3992,3992,7742859358.38706,7.74285935838706,0.79847984
32,172226606,0.172226606,114603820,3820,3820,7794318370.4593525,7.794318370459353,0.7640254666666667
33,170194551,0.170194551,109548255,3651,3651,7739618344.146847,7.739618344146847,0.7303217
34,167899662,0.167899662,104660928,3488,3488,7751466714.688946,7.751466714688946,0.69773952
35,165362190,0.16536219,99999999,3333,3333,7764241028.88362,7.76424102888362,0.66666666
36,162606153,0.162606153,95610000,3187,3187,7784275864.880015,7.784275864880016,0.6374
37,160000000,0.16,91542204,3051,3051,7875692337.682789,7.875692337682789,0.61028136
38,160000000,0.16,87840000,2928,2928,7720440339.776581,7.720440339776581,0.5856
39,160000000,0.16,84548454,2818,2818,7594928025.094541,7.594928025094541,0.56365636
40,160000000,0.16,81698169,2723,2723,7706633564.72525,7.706633564725251,0.54465446
41,160000000,0.16,79322644,2644,2644,7856432866.725325,7.856432866725324,0.5288176266666667
42,160000000,0.16,77445486,2581,2581,7809739412.561477,7.809739412561477,0.51630324
43,160000000,0.16,76090144,2536,2536,7744704191.374882,7.744704191374882,0.5072676266666667
44,160000000,0.16,75272509,2509,2509,7718638307.150163,7.7186383071501625,0.5018167266666667
45,160000000,0.16,75000000,2500,2500,7812317784.234744,7.812317784234744,0.5
46,160000000,0.16,75272509,2509,2509,7664501463.495778,7.664501463495778,0.5018167266666667
47,160000000,0.16,76090144,2536,2536,7758515051.013687,7.7585150510136875,0.5072676266666667
48,160000000,0.16,77445486,2581,2581,7776544495.264944,7.776544495264944,0.51630324
49,160000000,0.16,79322644,2644,2644,7856172371.68742,7.85617237168742,0.5288176266666667
50,160000000,0.16,81698169,2723,2723,7683086110.056997,7.683086110056998,0.54465446
51,160000000,0.16,84548454,2818,2818,7722829897.6138735,7.722829897613874,0.56365636
52,160000000,0.16,87840000,2928,2928,7712607001.26424,7.7126070012642405,0.5856
53,160000000,0.16,91542204,3051,3051,7835866343.985175,7.835866343985175,0.61028136
54,160000000,0.16,95610000,3187,3187,7778494441.065842,7.778494441065842,0.6374
55,160000000,0.16,99999999,3333,3333,7730026519.560759,7.7300265195607585,0.66666666
56,160000000,0.16,104660928,3488,3488,7719391274.535751,7.719391274535751,0.69773952
57,160000000,0.16,109548255,3651,3651,7747485360.096038,7.747485360096038,0.7303217
58,160000000,0.16,114603820,3820,3820,7748460133.472436,7.748460133472436,0.7640254666666667
59,160000000,0.16,119771976,3992,3992,7686175871.039175,7.686175871039175,0.79847984
60,160000000,0.16,124996664,4166,4166,7815418815.528513,7.815418815528513,0.8333110933333333
61,160000000,0.16,130226040,4340,4340,7708600630.557976,7.708600630557976,0.8681736
62,160000000,0.16,135394513,4513,4513,7755007589.136344,7.755007589136344,0.9026300866666667
63,160000000,0.16,140448724,4681,4681,7749659179.97832,7.7496591799783205,0.9363248266666667
64,160000000,0.16,145334532,4844,4844,7619618776.096924,7.619618776096924,0.96889688
65,160000000,0.16,149999994,4999,4999,7747889684.649994,7.747889684649994,0.99999996
66,160000000,0.16,154385146,5146,5146,7676845825.960061,7.676845825960061,1.0292343066666667
67,160233874,0.160233874,158456405,5281,5281,7662413720.919767,7.662413720919767,1.0563760333333334
68,160685541,0.160685541,162155405,5405,5405,7760254225.778267,7.760254225778267,1.0810360333333333
69,161336606,0.161336606,165450000,5515,5515,7847546244.89338,7.847546244893381,1.103
70,162167489,0.162167489,168300000,5610,5610,7699211817.992375,7.699211817992375,1.122
71,163156710,0.16315671,170675689,5689,5689,7841203687.165891,7.841203687165891,1.1378379266666667
72,164281169,0.164281169,172547253,5751,5751,7776112204.380093,7.776112204380093,1.15031502
73,165515865,0.165515865,173903184,5796,5796,7827843207.65802,7.82784320765802,1.15935456
74,166834650,0.16683465,174725824,5824,5824,7654703465.449338,7.654703465449338,1.1648388266666667
75,168209691,0.168209691,174995833,5833,5833,7758287522.699033,7.758287522699033,1.1666388866666666
76,169611204,0.169611204,174725824,5824,5824,7777578409.356089,7.777578409356089,1.1648388266666667
77,171009129,0.171009129,173903184,5796,5796,7776892302.311628,7.776892302311628,1.15935456
78,172371683,0.172371683,172547253,5751,5751,7766970410.61126,7.76697041061126,1.15031502
79,173667185,0.173667185,170675689,5689,5689,7765949039.155324,7.765949039155324,1.1378379266666667
80,174864081,0.174864081,168300000,5610,5610,7725342987.306751,7.725342987306751,1.122
81,175930751,0.175930751,165450000,5515,5515,7767395060.099698,7.767395060099698,1.103
82,176836794,0.176836794,162155405,5405,5405,7787374239.5038185,7.787374239503818,1.0810360333333333
83,177553301,0.177553301,158456405,5281,5281,7720612186.999029,7.720612186999029,1.0563760333333334
84,178053788,0.178053788,154385146,5146,5146,7808119013.998325,7.808119013998326,1.0292343066666667
85,178314051,0.178314051,150000000,5000,5000,7741464578.426334,7.741464578426334,1.0
86,178314051,0.178314051,145334532,4844,4844,7783443355.860652,7.783443355860652,0.96889688
87,178036744,0.178036744,140448724,4681,4681,7765170559.167459,7.7651705591674585,0.9363248266666667
88,177469917,0.177469917,135394513,4513,4513,7707428505.910282,7.707428505910282,0.9026300866666667
89,176605905,0.176605905,130226040,4340,4340,7742383821.199248,7.742383821199248,0.8681736
90,175441838,0.175441838,124996664,4166,4166,7853719980.614476,7.853719980614477,0.8333110933333333
91,173979627,0.173979627,119771976,3992,3992,7710946895.2487135,7.710946895248713,0.79847984
