block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,124996664,4166,4166,7839585515.278932,7.839585515278932,0.62498332
1,160000000,0.16,130226040,4340,4340,7827602747.283261,7.827602747283262,0.6511302
2,160000000,0.16,135394513,4513,4513,7794204956.654286,7.794204956654286,0.676972565
3,160000000,0.16,140448724,4681,4681,7725418776.74073,7.72541877674073,0.70224362
4,160000000,0.16,145334532,4844,4844,7797808339.51493,7.79780833951493,0.72667266
5,160000000,0.16,150000000,5000,5000,7655955509.134161,7.655955509134161,0.75
6,160000000,0.16,154385146,5146,5146,7783890581.665842,7.783890581665842,0.77192573
7,160000000,0.16,158456405,5281,5281,7852605332.431482,7.852605332431482,0.792282025
8,160000000,0.16,162155405,5405,5405,7824591195.365055,7.824591195365055,0.810777025
9,160000000,0.16,165450000,5515,5515,7639635510.944416,7.639635510944416,0.82725
10,160000000,0.16,168300000,5610,5610,7729533230.315425,7.7295332303154245,0.8415
11,160000000,0.16,170675689,5689,5689,7791686582.928978,7.791686582928978,0.853378445
12,160000000,0.16,172547253,5751,5751,7780211122.758864,7.780211122758865,0.862736265
13,160000000,0.16,173903184,5796,5796,7774853692.269403,7.774853692269404,0.86951592
14,160000000,0.16,174725824,5824,5824,7764574018.138995,7.764574018138995,0.87362912
15,160000000,0.16,174995833,5833,5833,7734910840.539758,7.734910840539758,0.874979165
16,160000000,0.16,174725824,5824,5824,7723476879.875584,7.723476879875584,0.87362912
17,160000000,0.16,173903184,5796,5796,7822104314.445071,7.822104314445071,0.86951592
18,160000000,0.16,172547253,5751,5751,7703880627.380336,7.703880627380336,0.862736265
19,160000000,0.16,170675689,5689,5689,7752940532.784689,7.752940532784689,0.853378445
20,160000000,0.16,168300000,5610,5610,7714693724.612397,7.714693724612397,0.8415
21,160000000,0.16,165450000,5515,5515,7811782595.628059,7.81178259562806,0.82725
22,160000000,0.16,162155405,5405,5405,7785586737.291835,7.785586737291835,0.810777025
23,160000000,0.16,158456405,5281,5281,7702309631.443488,7.702309631443488,0.792282025
24,160000000,0.16,154385146,5146,5146,7668847254.154727,7.668847254154727,0.77192573
25,160000000,0.16,150000000,5000,5000,7791454986.55275,7.79145498655275,0.75
26,160000000,0.16,145334532,4844,4844,7810027364.127912,7.810027364127912,0.72667266
27,160000000,0.16,140448724,4681,4681,7738537253.576158,7.738537253576157,0.70224362
28,160000000,0.16,135394513,4513,4513,7753860639.245597,7.753860639245597,0.676972565
29,160000000,0.16,130226040,4340,4340,7841390166.816233,7.8413901668162325,0.6511302
30,160000000,0.16,124996664,4166,4166,7686599683.175284,7.6865996831752845,0.62498332
31,160000000,0.16,119771976,3992,3992,7770605113.962348,7.770605113962348,0.59885988
32,160000000,0.16,114603820,3820,3820,7677303552.481135,7.677303552481136,0.5730191
33,160000000,0.16,109548255,3651,3651,7646560875.356315,7.646560875356315,0.547741275
34,160000000,0.16,104660928,3488,3488,7685101305.088704,7.685101305088704,0.52330464
35,160000000,0.16,99999999,3333,3333,7757567789.483619,7.757567789483619,0.499999995
36,160000000,0.16,95610000,3187,3187,7645007168.151793,7.645007168151793,0.47805
37,160000000,0.16,91542204,3051,3051,7819585843.377182,7.819585843377182,0.45771102
38,160000000,0.16,87840000,2928,2928,7710978133.608724,7.710978133608724,0.4392
39,160000000,0.16,84548454,2818,2818,7774929725.9713,7.7749297259713,0.42274227
40,160000000,0.16,81698169,2723,2723,7864797700.226983,7.864797700226983,0.408490845
41,160000000,0.16,79322644,2644,2644,7753468746.442862,7.753468746442862,0.39661322
42,160000000,0.16,77445486,2581,2581,7895325359.110751,7.8953253591107515,0.38722743
43,160000000,0.16,76090144,2536,2536,7774965173.666801,7.774965173666802,0.38045072
44,160000000,0.16,75272509,2509,2509,7790909009.488419,7.790909009488418,0.376362545
45,160000000,0.16,75000000,2500,2500,7842276756.571761,7.842276756571761,0.375
46,160000000,0.16,75272509,2509,2509,7712868256.140655,7.712868256140655,0.376362545
47,160000000,0.16,76090144,2536,2536,7666548102.781321,7.666548102781321,0.38045072
48,160000000,0.16,77445486,2581,2581,7740198628.016138,7.740198628016138,0.38722743
49,160000000,0.16,79322644,2644,2644,7740057689.192,7.7400576891920005,0.39661322
50,160000000,0.16,81698169,2723,2723,7762967910.369952,7.7629679103699525,0.408490845
51,160000000,0.16,84548454,2818,2818,7664166309.698023,7.664166309698023,0.42274227
52,160000000,0.16,87840000,2928,2928,7639280802.959592,7.6392808029595916,0.4392
53,160000000,0.16,91542204,3051,3051,7874438846.978117,7.874438846978117,0.45771102
54,160000000,0.16,95610000,3187,3187,7887680185.104612,7.887680185104612,0.47805
55,160000000,0.16,99999999,3333,3333,7750403900.143823,7.750403900143823,0.499999995
56,160000000,0.16,104660928,3488,3488,7847001757.798699,7.847001757798699,0.52330464
57,160000000,0.16,109548255,3651,3651,7652613588.10713,7.65261358810713,0.547741275
58,160000000,0.16,114603820,3820,3820,7735507400.446309,7.735507400446309,0.5730191
59,160000000,0.16,119771976,3992,3992,7817766620.939827,7.817766620939827,0.59885988
60,160000000,0.16,124996664,4166,4166,7666166244.227129,7.666166244227129,0.62498332
61,160000000,0.16,130226040,4340,4340,7877885685.689217,7.8778856856892165,0.6511302
62,160000000,0.16,135394513,4513,4513,7750664246.198362,7.750664246198363,0.676972565
63,160000000,0.16,140448724,4681,4681,7772620769.661107,7.772620769661107,0.70224362
64,160000000,0.16,145334532,4844,4844,7672271911.863368,7.672271911863368,0.72667266
65,160000000,0.16,149999994,4999,4999,7782476894.379659,7.782476894379658,0.74999997
66,160000000,0.16,154385146,5146,5146,7740301696.604525,7.740301696604525,0.77192573
67,160000000,0.16,158456405,5281,5281,7731228257.720765,7.731228257720765,0.792282025
68,160000000,0.16,162155405,5405,5405,7767563026.239405,7.767563026239404,0.810777025
69,160000000,0.16,165450000,5515,5515,7810609884.979148,7.810609884979148,0.82725
70,160000000,0.16,168300000,5610,5610,7792459139.480182,7.792459139480182,0.8415
71,160000000,0.16,170675689,5689,5689,7757655667.225954,7.757655667225954,0.853378445
72,160000000,0.16,172547253,5751,5751,7675775467.187987,7.675775467187988,0.862736265
73,160000000,0.16,173903184,5796,5796,7762333685.13896,7.76233368513896,0.86951592
74,160000000,0.16,174725824,5824,5824,7759543117.281602,7.759543117281602,0.87362912
75,160000000,0.16,174995833,5833,5833,7710599836.261682,7.710599836261681,0.874979165
76,160000000,0.16,174725824,5824,5824,7706343560.161373,7.706343560161373,0.87362912
77,160000000,0.16,173903184,5796,5796,7902835597.134553,7.902835597134553,0.86951592
78,160000000,0.16,172547253,5751,5751,7753791853.177473,7.753791853177473,0.862736265
79,160000000,0.16,170675689,5689,5689,7728913009.985269,7.728913009985269,0.853378445
80,160000000,0.16,168300000,5610,5610,7725099940.258733,7.725099940258732,0.8415
81,160000000,0.16,165450000,5515,5515,7693834859.655879,7.693834859655879,0.82725
82,160000000,0.16,162155405,5405,5405,7707731823.434372,7.707731823434372,0.810777025
83,160000000,0.16,158456405,5281,5281,7728352940.618369,7.728352940618369,0.792282025
84,160000000,0.16,154385146,5146,5146,7699179687.091667,7.699179687091667,0.77192573
85,160000000,0.16,150000000,5000,5000,7739983142.511006,7.739983142511006,0.75
86,160000000,0.16,145334532,4844,4844,7751115929.222208,7.751115929222208,0.72667266
87,160000000,0.16,140448724,4681,4681,7764311545.17412,7.76431154517412,0.70224362
88,160000000,0.16,135394513,4513,4513,7811846383.601429,7.811846383601429,0.676972565
89,160000000,0.16,130226040,4340,4340,7695647292.12341,7.69564729212341,0.6511302
90,160000000,0.16,124996664,4166,4166,7684256881.306607,7.684256881306608,0.62498332
91,160000000,0.16,119771976,3992,3992,7565265549.00237,7.56526554900237,0.59885988
92,160000000,0.16,114603820,3820,3820,7679904527.490683,7.679904527490683,0.5730191
93,160000000,0.16,109548255,3651,3651,7768411746.005641,7.768411746005641,0.547741275
94,160000000,0.16,104660928,3488,3488,7785922246.928137,7.785922246928137,0.52330464
95,160000000,0.16,99999999,3333,3333,7791524307.833701,7.7915243078337015,0.499999995
96,160000000,0.16,95610000,3187,3187,7749173887.423147,7.749173887423147,0.47805
97,160000000,0.16,91542204,3051,3051,7638826792.620193,7.6388267926201925,0.45771102
98,160000000,0.16,87840000,2928,2928,7707326907.276624,7.707326907276624,0.4392
99,160000000,0.16,84548454,2818,2818,7680177909.272221,7.680177909272221,0.42274227
100,160000000,0.16,81698169,2723,2723,7849450696.709116,7.849450696709116,0.408490845
101,160000000,0.16,79322644,2644,2644,7765532531.821669,7.765532531821669,0.39661322
102,160000000,0.16,77445486,2581,2581,7766674256.062606,7.766674256062606,0.38722743
103,160000000,0.16,76090144,2536,2536,7748263702.360923,7.748263702360923,0.38045072
104,160000000,0.16,75272509,2509,2509,7643252121.910802,7.643252121910802,0.376362545
105,160000000,0.16,75000000,2500,2500,7865835981.863781,7.865835981863781,0.375
106,160000000,0.16,75272509,2509,2509,7694882125.561362,7.694882125561362,0.376362545
107,160000000,0.16,76090144,2536,2536,7867726345.452064,7.867726345452064,0.38045072
108,160000000,0.16,77445486,2581,2581,7659733124.253674,7.659733124253673,0.38722743
109,160000000,0.16,79322644,2644,2644,7614123134.394378,7.614123134394378,0.39661322
110,160000000,0.16,81698169,2723,2723,7935453443.084663,7.935453443084663,0.408490845
111,160000000,0.16,84548454,2818,2818,7812569584.98233,7.81256958498233,0.42274227
112,160000000,0.16,87840000,2928,2928,7796097846.101733,7.796097846101733,0.4392
113,160000000,0.16,91542204,3051,3051,7861792666.19218,7.86179266619218,0.45771102
114,160000000,0.16,95610000,3187,3187,7730736528.4972105,7.730736528497211,0.47805
115,160000000,0.16,99999999,3333,3333,7869998460.992862,7.8699984609928615,0.499999995
116,160000000,0.16,104660928,3488,3488,7613133091.483324,7.613133091483324,0.52330464
117,160000000,0.16,109548255,3651,3651,7676755149.378588,7.676755149378588,0.547741275
118,160000000,0.16,114603820,3820,3820,7761891066.489445,7.7618910664894445,0.5730191
119,160000000,0.16,119771976,3992,3992,7734562488.403266,7.734562488403266,0.59885988
120,160000000,0.16,124996664,4166,4166,7715585320.543962,7.715585320543962,0.62498332
121,160000000,0.16,130226040,4340,4340,7816047298.169519,7.8160472981695195,0.6511302
122,160000000,0.16,135394513,4513,4513,7698725423.144008,7.698725423144007,0.676972565
123,160000000,0.16,140448724,4681,4681,7693159770.449093,7.693159770449093,0.70224362
124,160000000,0.16,145334532,4844,4844,7645038302.8297415,7.645038302829741,0.72667266
125,160000000,0.16,149999994,4999,4999,7675133322.930355,7.675133322930355,0.74999997
126,160000000,0.16,154385146,5146,5146,7678168732.134179,7.678168732134179,0.77192573
127,160000000,0.16,158456405,5281,5281,7682438601.732298,7.682438601732298,0.792282025
128,160000000,0.16,162155405,5405,5405,7804367105.484869,7.804367105484869,0.810777025
129,160000000,0.16,165450000,5515,5515,7689313342.488544,7.6893133424885445,0.82725
130,160000000,0.16,168300000,5610,5610,7793885211.942843,7.793885211942843,0.8415
131,160000000,0.16,170675689,5689,5689,7781202951.431495,7.781202951431495,0.853378445
132,160000000,0.16,172547253,5751,5751,7748233349.4860735,7.748233349486074,0.862736265
133,160000000,0.16,173903184,5796,5796,7730385933.848559,7.730385933848559,0.86951592
134,160000000,0.16,174725824,5824,5824,7800969126.48035,7.800969126480349,0.87362912
135,160000000,0.16,174995833,5833,5833,7787835404.800593,7.787835404800593,0.874979165
136,160000000,0.16,174725824,5824,5824,7775519891.349698,7.775519891349698,0.87362912
