block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,150000000,3000,3000,5537214664.306176,5.537214664306176,1.5001500150015001
1,164001200,0.1640012,150000000,3000,3000,5496965503.322117,5.496965503322117,1.5001500150015001
2,168102460,0.16810246,150000000,3000,3000,5472955242.009808,5.4729552420098075,1.5001500150015001
3,172306282,0.172306282,150000000,3000,3000,5538182435.392953,5.538182435392953,1.5001500150015001
4,176615231,0.176615231,150000000,3000,3000,5530708722.981358,5.530708722981357,1.5001500150015001
5,181031936,0.181031936,50000000,1000,1000,5574056938.264656,5.574056938264656,0.5000500050005
6,176506590,0.17650659,50000000,1000,1000,5463235010.38843,5.46323501038843,0.5000500050005
7,172094366,0.172094366,50000000,1000,1000,5548105411.268749,5.548105411268749,0.5000500050005
8,167792437,0.167792437,50000000,1000,1000,5550049024.685129,5.550049024685129,0.5000500050005
9,163598045,0.163598045,50000000,1000,1000,5402648078.024632,5.402648078024632,0.5000500050005
10,160000000,0.16,150000000,3000,3000,5522669518.774169,5.522669518774169,1.5001500150015001
11,164001200,0.1640012,150000000,3000,3000,5404927800.1666155,5.4049278001666154,1.5001500150015001
12,168102460,0.16810246,150000000,3000,3000,5535000716.525591,5.535000716525591,1.5001500150015001
13,172306282,0.172306282,150000000,3000,3000,5439303545.7717495,5.439303545771749,1.5001500150015001
14,176615231,0.176615231,150000000,3000,3000,5434994144.656038,5.434994144656038,1.5001500150015001
15,181031936,0.181031936,50000000,1000,1000,5529882950.761707,5.529882950761707,0.5000500050005
16,176506590,0.17650659,50000000,1000,1000,5543528676.781442,5.543528676781442,0.5000500050005
17,172094366,0.172094366,50000000,1000,1000,5606995358.600556,5.606995358600557,0.5000500050005
18,167792437,0.167792437,50000000,1000,1000,5584525151.9663515,5.584525151966352,0.5000500050005
19,163598045,0.163598045,50000000,1000,1000,5433149238.17832,5.43314923817832,0.5000500050005
20,160000000,0.16,150000000,3000,3000,5535809963.673655,5.535809963673654,1.5001500150015001
21,164001200,0.1640012,150000000,3000,3000,5519556229.5605135,5.519556229560513,1.5001500150015001
22,168102460,0.16810246,150000000,3000,3000,5430639657.420047,5.430639657420047,1.5001500150015001
23,172306282,0.172306282,150000000,3000,3000,5486840471.650351,5.486840471650351,1.5001500150015001
24,176615231,0.176615231,150000000,3000,3000,5580881899.322484,5.580881899322484,1.5001500150015001
25,181031936,0.181031936,50000000,1000,1000,5287587544.123439,5.287587544123439,0.5000500050005
26,176506590,0.17650659,50000000,1000,1000,5483041129.140383,5.483041129140383,0.5000500050005
27,172094366,0.172094366,50000000,1000,1000,5575932120.459265,5.575932120459265,0.5000500050005
28,167792437,0.167792437,50000000,1000,1000,5343097250.764133,5.343097250764133,0.5000500050005
