block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,300000000,6000,6000,5477760832.868844,5.477760832868844,2.0
1,176000000,0.176,300000000,6000,6000,5519231237.636542,5.519231237636542,2.0
2,193600000,0.1936,300000000,6000,6000,5481430248.685181,5.4814302486851805,2.0
3,212960000,0.21296,300000000,6000,6000,5515802215.851679,5.515802215851679,2.0
4,234256000,0.234256,300000000,6000,6000,5511959308.551314,5.511959308551314,2.0
5,257681600,0.2576816,50000000,1000,1000,5490092239.051308,5.490092239051307,0.3333333333333333
6,276291937,0.276291937,50000000,1000,1000,5584381062.776896,5.584381062776896,0.3333333333333333
7,290764371,0.290764371,50000000,1000,1000,5659477818.713715,5.6594778187137145,0.3333333333333333
8,301668034,0.301668034,50000000,1000,1000,5304431897.389477,5.304431897389477,0.3333333333333333
9,309489057,0.309489057,50000000,1000,1000,5569137434.960985,5.569137434960985,0.3333333333333333
10,314647207,0.314647207,300000000,6000,6000,5504873421.338352,5.504873421338353,2.0
11,322275018,0.322275018,300000000,6000,6000,5470483159.149667,5.4704831591496665,2.0
12,332122310,0.33212231,300000000,6000,6000,5524806512.545062,5.524806512545062,2.0
13,344044649,0.344044649,300000000,6000,6000,5442364851.987473,5.442364851987472,2.0
14,357970265,0.357970265,300000000,6000,6000,5503288384.446655,5.503288384446655,2.0
15,373880054,0.373880054,50000000,1000,1000,5439031036.609114,5.439031036609114,0.3333333333333333
16,387900556,0.387900556,50000000,1000,1000,5394835378.59557,5.39483537859557,0.3333333333333333
17,400069985,0.400069985,50000000,1000,1000,5383170364.57235,5.38317036457235,0.3333333333333333
18,410442169,0.410442169,50000000,1000,1000,5474443212.96739,5.47444321296739,0.3333333333333333
19,419083056,0.419083056,50000000,1000,1000,5498007207.1365795,5.498007207136579,0.3333333333333333
20,426067773,0.426067773,300000000,6000,6000,5481042674.36563,5.48104267436563,2.0
21,434859647,0.434859647,300000000,6000,6000,5543726814.529327,5.543726814529327,2.0
22,445401699,0.445401699,300000000,6000,6000,5507304741.899477,5.507304741899477,2.0
23,457666383,0.457666383,300000000,6000,6000,5535348732.409017,5.535348732409017,2.0
24,471650633,0.471650633,300000000,6000,6000,5470683478.580424,5.470683478580424,2.0
25,487372320,0.48737232,50000000,1000,1000,5486813289.4787855,5.4868132894787855,0.3333333333333333
26,500368915,0.500368915,50000000,1000,1000,5488018674.416577,5.488018674416577,0.3333333333333333
27,510376293,0.510376293,50000000,1000,1000,5599751205.188244,5.599751205188244,0.3333333333333333
