block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,300000000,6000,6000,5540664523.775898,5.540664523775898,2.0
1,168000000,0.168,300000000,6000,6000,5520709350.040686,5.520709350040685,2.0
2,176400000,0.1764,300000000,6000,6000,5512750665.216601,5.512750665216601,2.0
3,185220000,0.18522,300000000,6000,6000,5460313777.324917,5.460313777324917,2.0
4,194481000,0.194481,300000000,6000,6000,5495429425.360167,5.495429425360166,2.0
5,204205050,0.20420505,50000000,1000,1000,5470141465.169568,5.470141465169568,0.3333333333333333
6,211579121,0.211579121,50000000,1000,1000,5498420888.82528,5.49842088882528,0.3333333333333333
7,217120478,0.217120478,50000000,1000,1000,5532924415.887206,5.532924415887206,0.3333333333333333
8,221191486,0.221191486,50000000,1000,1000,5338009671.95171,5.33800967195171,0.3333333333333333
9,224058783,0.224058783,50000000,1000,1000,5577415979.305303,5.577415979305303,0.3333333333333333
10,225925939,0.225925939,300000000,6000,6000,5480457564.605286,5.4804575646052855,2.0
11,228664435,0.228664435,300000000,6000,6000,5503338695.619435,5.503338695619435,2.0
12,232157919,0.232157919,300000000,6000,6000,5442803385.314104,5.442803385314104,2.0
13,236324856,0.236324856,300000000,6000,6000,5447079314.508432,5.447079314508432,2.0
14,241107620,0.24110762,300000000,6000,6000,5443031819.649538,5.443031819649538,2.0
15,246465567,0.246465567,50000000,1000,1000,5564014934.095297,5.5640149340952965,0.3333333333333333
16,251086796,0.251086796,50000000,1000,1000,5494883956.579873,5.494883956579873,0.3333333333333333
17,255025412,0.255025412,50000000,1000,1000,5419765550.007829,5.419765550007829,0.3333333333333333
18,258331296,0.258331296,50000000,1000,1000,5426138172.576755,5.426138172576755,0.3333333333333333
19,261050572,0.261050572,50000000,1000,1000,5581994620.751121,5.581994620751121,0.3333333333333333
20,263225993,0.263225993,300000000,6000,6000,5512482564.762014,5.512482564762014,2.0
21,265941816,0.265941816,300000000,6000,6000,5484927321.502665,5.484927321502664,2.0
22,269165353,0.269165353,300000000,6000,6000,5506982289.618992,5.506982289618992,2.0
23,272871252,0.272871252,300000000,6000,6000,5540879587.306806,5.540879587306805,2.0
24,277040118,0.277040118,300000000,6000,6000,5486057676.809997,5.486057676809996,2.0
25,281657453,0.281657453,50000000,1000,1000,5418851374.289808,5.418851374289808,0.3333333333333333
26,285412885,0.285412885,50000000,1000,1000,5502636644.066616,5.502636644066616,0.3333333333333333
27,288267013,0.288267013,50000000,1000,1000,5592431507.911376,5.592431507911376,0.3333333333333333
28,290188793,0.290188793,50000000,1000,1000,5468653993.752366,5.468653993752366,0.3333333333333333
29,291156088,0.291156088,50000000,1000,1000,5622284572.424657,5.622284572424657,0.3333333333333333
30,291156088,0.291156088,300000000,6000,6000,5536775398.612752,5.536775398612752,2.0
31,292126608,0.292126608,300000000,6000,6000,5505187085.907699,5.505187085907699,2.0
32,294074118,0.294074118,300000000,6000,6000,5484968602.912755,5.484968602912755,2.0
33,297014859,0.297014859,300000000,6000,6000,5502891670.193877,5.502891670193877,2.0
34,300975057,0.300975057,300000000,6000,6000,5496863806.221946,5.4968638062219455,2.0
35,305991307,0.305991307,50000000,1000,1000,5370046159.741336,5.370046159741336,0.3333333333333333
36,310071191,0.310071191,50000000,1000,1000,5391543806.954104,5.391543806954105,0.3333333333333333
37,313171902,0.313171902,50000000,1000,1000,5503839428.765612,5.503839428765612,0.3333333333333333
38,315259714,0.315259714,50000000,1000,1000,5584545029.733841,5.584545029733841,0.3333333333333333
39,316310579,0.316310579,50000000,1000,1000,5547168408.122542,5.547168408122542,0.3333333333333333
40,316310579,0.316310579,300000000,6000,6000,5529106735.952874,5.529106735952874,2.0
41,317364947,0.317364947,300000000,6000,6000,5546970810.391453,5.546970810391453,2.0
42,319480713,0.319480713,300000000,6000,6000,5518169619.195816,5.518169619195816,2.0
43,322675520,0.32267552,300000000,6000,6000,5475103558.36309,5.47510355836309,2.0
44,326977860,0.32697786,300000000,6000,6000,5521150094.769213,5.5211500947692125,2.0
45,332427491,0.332427491,50000000,1000,1000,5490432649.202521,5.490432649202521,0.3333333333333333
46,336859857,0.336859857,50000000,1000,1000,5548132468.570181,5.548132468570181,0.3333333333333333
47,340228455,0.340228455,50000000,1000,1000,5432083256.457769,5.432083256457769,0.3333333333333333
