block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,300000000,6000,6000,5477760832.868844,5.477760832868844,2.0
1,176000000,0.176,300000000,6000,6000,5519231237.636542,5.519231237636542,2.0
2,193600000,0.1936,300000000,6000,6000,5481430248.685181,5.4814302486851805,2.0
3,212960000,0.21296,300000000,6000,6000,5515802215.851679,5.515802215851679,2.0
4,234256000,0.234256,300000000,6000,6000,5511959308.551314,5.511959308551314,2.0
5,257681600,0.2576816,50000000,1000,1000,5490092239.051308,5.490092239051307,0.3333333333333333
6,240502826,0.240502826,50000000,1000,1000,5584381062.776896,5.584381062776896,0.3333333333333333
7,224469304,0.224469304,50000000,1000,1000,5659477818.713715,5.6594778187137145,0.3333333333333333
8,209504683,0.209504683,50000000,1000,1000,5304431897.389477,5.304431897389477,0.3333333333333333
9,195537704,0.195537704,50000000,1000,1000,5569137434.960985,5.569137434960985,0.3333333333333333
10,182501857,0.182501857,300000000,6000,6000,5504873421.338352,5.504873421338353,2.0
11,200752042,0.200752042,300000000,6000,6000,5470483159.149667,5.4704831591496665,2.0
12,220827246,0.220827246,300000000,6000,6000,5524806512.545062,5.524806512545062,2.0
13,242909970,0.24290997,300000000,6000,6000,5442364851.987473,5.442364851987472,2.0
14,267200967,0.267200967,300000000,6000,6000,5503288384.446655,5.503288384446655,2.0
15,293921063,0.293921063,50000000,1000,1000,5439031036.609114,5.439031036609114,0.3333333333333333
16,274326325,0.274326325,50000000,1000,1000,5394835378.59557,5.39483537859557,0.3333333333333333
17,256037903,0.256037903,50000000,1000,1000,5383170364.57235,5.38317036457235,0.3333333333333333
18,238968709,0.238968709,50000000,1000,1000,5474443212.96739,5.47444321296739,0.3333333333333333
19,223037461,0.223037461,50000000,1000,1000,5498007207.1365795,5.498007207136579,0.3333333333333333
20,208168296,0.208168296,300000000,6000,6000,5481042674.36563,5.48104267436563,2.0
21,228985125,0.228985125,300000000,6000,6000,5543726814.529327,5.543726814529327,2.0
22,251883637,0.251883637,300000000,6000,6000,5507304741.899477,5.507304741899477,2.0
23,277072000,0.277072,300000000,6000,6000,5535348732.409017,5.535348732409017,2.0
24,304779200,0.3047792,300000000,6000,6000,5470683478.580424,5.470683478580424,2.0
25,335257120,0.33525712,50000000,1000,1000,5486813289.4787855,5.4868132894787855,0.3333333333333333
26,312906645,0.312906645,50000000,1000,1000,5488018674.416577,5.488018674416577,0.3333333333333333
27,292046202,0.292046202,50000000,1000,1000,5599751205.188244,5.599751205188244,0.3333333333333333
