block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,149979249,1510,2000,11124769020.53698,11.124769020536979,1.49979249
1,167996679,0.167996679,149999312,1500,2000,11257940781.64682,11.25794078164682,1.49999312
2,176396397,0.176396397,149959667,1488,2000,11367239642.99933,11.36723964299933,1.49959667
3,185209102,0.185209102,149991873,1491,2000,11307138931.868263,11.307138931868263,1.49991873
4,194468051,0.194468051,149915113,1510,2000,11276189718.295279,11.276189718295278,1.49915113
5,204174945,0.204174945,149992616,1511,2000,11245604011.489353,11.245604011489354,1.49992616
6,214382184,0.214382184,149980825,1497,2000,11318433453.006935,11.318433453006936,1.49980825
7,225097182,0.225097182,149924512,1510,2000,11255708347.130238,11.255708347130238,1.49924512
8,236335048,0.236335048,149999773,1492,2000,11230310549.516674,11.230310549516673,1.49999773
9,248151746,0.248151746,149893204,1491,2000,11274974297.575932,11.274974297575932,1.49893204
10,260532831,0.260532831,149980655,1491,2000,11418929709.523201,11.418929709523201,1.49980655
11,273554432,0.273554432,149916216,1497,2000,11154958483.253288,11.154958483253289,1.49916216
12,287209234,0.287209234,149920892,1494,2000,11351836199.288157,11.351836199288156,1.49920892
13,301546975,0.301546975,149918316,1502,2000,11234297065.074015,11.234297065074015,1.49918316
14,316599692,0.316599692,149905261,1517,2000,11149123528.441175,11.149123528441175,1.49905261
15,332399682,0.332399682,149928230,1513,2000,11305649142.530817,11.305649142530816,1.4992823
16,348995809,0.348995809,149977956,1491,2000,11381995565.629068,11.381995565629069,1.49977956
17,366437906,0.366437906,149953057,1476,2000,11290346963.228344,11.290346963228345,1.49953057
18,384742599,0.384742599,149997943,1500,2000,11244331541.17558,11.24433154117558,1.49997943
19,403978937,0.403978937,149985582,1481,2000,11206138012.510477,11.206138012510477,1.49985582
20,424172059,0.424172059,149951340,1490,2000,11343027916.489422,11.343027916489422,1.4995134
21,445360021,0.445360021,149997783,1519,2000,11087158093.175945,11.087158093175946,1.49997783
22,467627034,0.467627034,149949836,1491,2000,11170817894.039124,11.170817894039123,1.49949836
23,490984927,0.490984927,149973788,1498,2000,11184500608.249506,11.184500608249506,1.49973788
24,515521303,0.515521303,149944649,1498,2000,11195220830.393204,11.195220830393204,1.49944649
25,541268833,0.541268833,149999763,1488,2000,11280326160.0592,11.2803261600592,1.49999763
26,568332146,0.568332146,149939117,1491,2000,11305154687.747883,11.305154687747883,1.49939117
27,596714151,0.596714151,149917403,1507,2000,11281217177.971704,11.281217177971705,1.49917403
28,626500571,0.626500571,149989688,1506,2000,11355158527.936014,11.355158527936014,1.49989688
29,657819139,0.657819139,149999163,1493,2000,11101905198.188156,11.101905198188156,1.49999163
30,690709545,0.690709545,149888723,1499,2000,11185682832.221188,11.185682832221188,1.49888723
31,725168162,0.725168162,149973691,1491,2000,11151769657.453814,11.151769657453814,1.49973691
32,761407491,0.761407491,149952219,1492,2000,11169980458.75876,11.16998045875876,1.49952219
33,799441484,0.799441484,149975549,1510,2000,11217742123.508959,11.217742123508959,1.49975549
34,839394011,0.839394011,149967530,1504,2000,11269294945.237013,11.269294945237013,1.4996753
35,881336456,0.881336456,149976891,1485,2000,11229083095.384645,11.229083095384645,1.49976891
36,925382911,0.925382911,149991677,1490,2000,11247289043.911146,11.247289043911147,1.49991677
37,971644354,0.971644354,149941855,1503,2000,11228778336.418682,11.228778336418682,1.49941855
38,1020170075,1.020170075,149925275,1502,2000,11403021703.738695,11.403021703738695,1.49925275
39,1071102346,1.071102346,149957422,1483,2000,11237198182.154043,11.237198182154042,1.49957422
40,1124611857,1.124611857,149986940,1499,2000,11217983527.334751,11.21798352733475,1.4998694
41,1180827762,1.180827762,149997854,1507,2000,11202449768.112616,11.202449768112615,1.49997854
42,1239866616,1.239866616,149936268,1485,2000,11056453272.875114,11.056453272875114,1.49936268
43,1301780927,1.301780927,149926961,1503,2000,11185056915.44274,11.18505691544274,1.49926961
44,1366774892,1.366774892,149926555,1500,2000,11289390707.98539,11.28939070798539,1.49926555
45,1435013253,1.435013253,149967699,1514,2000,11240236240.6726,11.2402362406726,1.49967699
46,1506717563,1.506717563,149983661,1495,2000,11345594666.46436,11.34559466646436,1.49983661
47,1582028822,1.582028822,149980567,1477,2000,11340245716.267456,11.340245716267455,1.49980567
48,1661099519,1.661099519,149957497,1512,2000,11242298533.188251,11.24229853318825,1.49957497
49,1744083893,1.744083893,149957578,1490,2000,11311232634.860435,11.311232634860435,1.49957578
50,1831214100,1.8312141,149914962,1525,2000,11198531076.875948,11.198531076875948,1.49914962
51,1922619082,1.922619082,149950494,1487,2000,11347970415.1377,11.347970415137699,1.49950494
52,2018654854,2.018654854,149886429,1500,2000,11163593482.265549,11.163593482265549,1.49886429
53,2119358336,2.119358336,149922962,1516,2000,11271820419.411938,11.271820419411938,1.49922962
