block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,197878356,2000,2000,10046493420.526798,10.046493420526799,1.31918904
1,165107024,0.165107024,200202045,2000,2000,9985250767.338053,9.985250767338053,1.3346803
2,170504945,0.170504945,201208128,2000,2000,9816353029.285334,9.816353029285334,1.34138752
3,176161485,0.176161485,200329925,2000,2000,10020332051.613388,10.020332051613389,1.3355328333333334
4,182022332,0.182022332,201959863,2000,2000,10087521351.976318,10.087521351976319,1.3463990866666666
5,188128048,0.188128048,200291609,2000,2000,9941573115.752739,9.941573115752739,1.3352773933333333
6,194438070,0.19443807,200492045,2000,2000,9911548686.465244,9.911548686465244,1.3366136333333334
7,200963077,0.200963077,200207430,2000,2000,10075273462.32485,10.07527346232485,1.3347162
8,207704875,0.207704875,200801375,2000,2000,9997618264.870678,9.997618264870678,1.3386758333333333
9,214680232,0.214680232,199129657,2000,2000,10111957912.841774,10.111957912841774,1.3275310466666668
10,221872025,0.221872025,198734624,2000,2000,9951965905.633003,9.951965905633003,1.3248974933333333
11,229284366,0.229284366,198508331,2000,2000,10136843315.20495,10.13684331520495,1.3233888733333334
12,236923909,0.236923909,200277185,2000,2000,10014972053.712893,10.014972053712892,1.3351812333333333
13,244821622,0.244821622,200473628,2000,2000,10039656697.565784,10.039656697565784,1.3364908533333333
14,252988104,0.252988104,198130100,2000,2000,10031503713.730791,10.03150371373079,1.3208673333333334
15,261405572,0.261405572,199336891,2000,2000,9924324264.77539,9.924324264775391,1.3289126066666668
16,270096884,0.270096884,199004308,2000,2000,10055761049.25384,10.055761049253839,1.3266953866666666
17,279067971,0.279067971,201087086,2000,2000,10011787972.493616,10.011787972493616,1.3405805733333334
18,288350108,0.288350108,198507266,2000,2000,10011664973.116318,10.011664973116318,1.3233817733333333
19,297926972,0.297926972,198338588,2000,2000,9955962479.482622,9.955962479482622,1.3222572533333334
20,307807207,0.307807207,200591495,2000,2000,9913339892.063019,9.91333989206302,1.3372766333333332
21,318023376,0.318023376,199821255,2000,2000,9911138844.239368,9.91113884423937,1.3321417
22,328578968,0.328578968,198987539,2000,2000,10046013821.750435,10.046013821750435,1.3265835933333334
23,339477301,0.339477301,201295347,2000,2000,9957584884.056448,9.957584884056448,1.34196898
24,350751663,0.350751663,202114515,2000,2000,9968490373.094713,9.968490373094713,1.3474301
