block,basefee,basefee_gwei,gas_used,num_txs,demand_size,avg_premium,avg_premium_gwei,utilization
0,160000000,0.16,69999289,700,700,9854896991.636467,9.854896991636467,0.46666192666666667
1,160000000,0.16,68786195,700,700,10091759943.93773,10.091759943937731,0.4585746333333333
2,160000000,0.16,71401120,700,700,10085381197.543848,10.085381197543848,0.47600746666666666
3,160000000,0.16,71221833,700,700,9848982284.98545,9.848982284985452,0.47481222
4,160000000,0.16,71043479,700,700,10034416395.80579,10.03441639580579,0.47362319333333336
5,160000000,0.16,69382822,700,700,10007432991.855787,10.007432991855786,0.46255214666666666
6,160000000,0.16,70217330,700,700,9726130310.186363,9.726130310186363,0.46811553333333333
7,160000000,0.16,69845023,700,700,10091797887.209827,10.091797887209827,0.46563348666666665
8,160000000,0.16,71008820,700,700,10150511448.61139,10.15051144861139,0.47339213333333335
9,160000000,0.16,70431635,700,700,9965145811.523746,9.965145811523746,0.46954423333333334
10,160000000,0.16,69391752,700,700,9918139137.093102,9.918139137093101,0.46261168
11,160000000,0.16,69692384,700,700,10111067862.875122,10.111067862875123,0.4646158933333333
12,160000000,0.16,69951547,700,700,9843033163.94251,9.843033163942511,0.46634364666666667
13,160000000,0.16,70121895,700,700,9979996661.313723,9.979996661313722,0.4674793
14,160000000,0.16,69643232,700,700,9821551682.537596,9.821551682537596,0.4642882133333333
15,160000000,0.16,70274432,700,700,9807991196.53332,9.807991196533319,0.46849621333333336
16,160000000,0.16,69494458,700,700,9994314465.824898,9.994314465824898,0.46329638666666667
17,160000000,0.16,70840505,700,700,9971875402.085155,9.971875402085155,0.47227003333333334
18,160000000,0.16,70302813,700,700,9950767218.194254,9.950767218194255,0.46868542
19,160000000,0.16,70319551,700,700,9926413908.289394,9.926413908289394,0.4687970066666667
20,160000000,0.16,70719391,700,700,10019942738.546051,10.019942738546051,0.4714626066666667
21,160000000,0.16,70563819,700,700,10072173109.491947,10.072173109491947,0.47042546
22,160000000,0.16,71436210,700,700,9992206727.113129,9.992206727113128,0.4762414
23,160000000,0.16,70368564,700,700,10069632715.14369,10.06963271514369,0.46912376
24,160000000,0.16,70136124,700,700,9892850626.873867,9.892850626873868,0.46757416
25,160000000,0.16,71122160,700,700,10069123032.46302,10.06912303246302,0.4741477333333333
26,160000000,0.16,71483788,700,700,10009193961.761679,10.009193961761678,0.4765585866666667
27,160000000,0.16,70331069,700,700,9832474481.28318,9.83247448128318,0.46887379333333334
28,160000000,0.16,69839486,700,700,10001916018.161968,10.001916018161968,0.4655965733333333
29,160000000,0.16,68408901,700,700,9891635545.758791,9.89163554575879,0.45605934
30,160000000,0.16,69129508,700,700,9901786286.186863,9.901786286186862,0.46086338666666665
31,160000000,0.16,70195048,700,700,10066729943.548521,10.066729943548522,0.46796698666666664
32,160000000,0.16,69419734,700,700,10003280589.590601,10.0032805895906,0.46279822666666665
33,160000000,0.16,70910586,700,700,10087295419.220755,10.087295419220755,0.47273724
34,160000000,0.16,70608250,700,700,10036361093.423138,10.036361093423137,0.47072166666666665
35,160000000,0.16,70844050,700,700,10056279681.945398,10.056279681945398,0.47229366666666667
36,160000000,0.16,69935176,700,700,9970895773.212307,9.970895773212307,0.46623450666666666
37,160000000,0.16,68864330,700,700,10023128754.066088,10.023128754066088,0.45909553333333336
38,160000000,0.16,69779366,700,700,9871398632.53166,9.87139863253166,0.46519577333333334
39,160000000,0.16,70694002,700,700,10009136612.894348,10.009136612894348,0.47129334666666667
40,160000000,0.16,69691596,700,700,9969575134.948542,9.969575134948542,0.46461064
41,160000000,0.16,69745051,700,700,9951095355.821478,9.951095355821478,0.4649670066666667
42,160000000,0.16,70278613,700,700,10047360906.854582,10.047360906854582,0.4685240866666667
43,160000000,0.16,70133488,700,700,10132580793.833437,10.132580793833437,0.46755658666666666
44,160000000,0.16,70177874,700,700,10055165100.888212,10.055165100888212,0.46785249333333334
45,160000000,0.16,68650575,700,700,9978413460.091488,9.978413460091488,0.4576705
46,160000000,0.16,69819551,700,700,10253399092.997871,10.25339909299787,0.4654636733333333
47,160000000,0.16,69583333,700,700,9968432049.84141,9.96843204984141,0.46388888666666667
48,160000000,0.16,69070437,700,700,10009587236.107414,10.009587236107414,0.46046958
49,160000000,0.16,70153004,700,700,10055152026.931189,10.05515202693119,0.46768669333333335
50,160000000,0.16,70234217,700,700,10133062811.469475,10.133062811469475,0.4682281133333333
51,160000000,0.16,71191088,700,700,9775331828.985712,9.775331828985712,0.4746072533333333
52,160000000,0.16,69181359,700,700,10024824441.500795,10.024824441500796,0.46120906
53,160000000,0.16,70468518,700,700,10074440878.229801,10.074440878229801,0.46979012
54,160000000,0.16,70471856,700,700,9903790547.189137,9.903790547189136,0.4698123733333333
55,160000000,0.16,69897521,700,700,10050964709.867174,10.050964709867173,0.46598347333333334
56,160000000,0.16,70825205,700,700,10036631277.000662,10.036631277000662,0.47216803333333335
57,160000000,0.16,70113432,700,700,10092026862.081146,10.092026862081147,0.46742288
58,160000000,0.16,70629058,700,700,10234604868.6209,10.234604868620899,0.4708603866666667
59,160000000,0.16,70041892,700,700,10097636971.834375,10.097636971834376,0.46694594666666667
60,160000000,0.16,69563310,700,700,10103547857.911167,10.103547857911167,0.4637554
61,160000000,0.16,70450477,700,700,9985807837.194141,9.985807837194141,0.46966984666666667
62,160000000,0.16,68536766,700,700,10007851168.550488,10.007851168550488,0.4569117733333333
63,160000000,0.16,71149249,700,700,10206320164.061792,10.206320164061792,0.4743283266666667
64,160000000,0.16,69423116,700,700,10049043186.515251,10.04904318651525,0.4628207733333333
65,160000000,0.16,70040926,700,700,10282127665.57562,10.28212766557562,0.46693950666666667
66,160000000,0.16,69221352,700,700,9778091327.083733,9.778091327083732,0.46147568
67,160000000,0.16,70710668,700,700,9958555304.712307,9.958555304712307,0.4714044533333333
68,160000000,0.16,68247878,700,700,10130457099.885366,10.130457099885366,0.45498585333333336
69,160000000,0.16,69796838,700,700,10078615671.819294,10.078615671819295,0.4653122533333333
70,160000000,0.16,70588123,700,700,9983078351.295336,9.983078351295335,0.47058748666666667
71,160000000,0.16,69015490,700,700,10191782651.740849,10.191782651740848,0.4601032666666667
72,160000000,0.16,68345194,700,700,9933787655.709112,9.933787655709112,0.45563462666666665
73,160000000,0.16,69971096,700,700,9984644111.462229,9.984644111462229,0.46647397333333335
74,160000000,0.16,69061540,700,700,10078275678.200142,10.078275678200141,0.4604102666666667
75,160000000,0.16,68009764,700,700,9899258316.023018,9.899258316023017,0.4533984266666667
76,160000000,0.16,70055276,700,700,9909335519.534643,9.909335519534643,0.46703517333333333
77,160000000,0.16,70613983,700,700,9840997001.023035,9.840997001023036,0.4707598866666667
78,160000000,0.16,69839197,700,700,9885815349.240892,9.885815349240893,0.46559464666666667
79,160000000,0.16,70328833,700,700,10043940809.227121,10.043940809227122,0.46885888666666664
80,160000000,0.16,70560945,700,700,10000753689.614027,10.000753689614028,0.4704063
81,160000000,0.16,69590813,700,700,10062835961.581915,10.062835961581914,0.46393875333333334
82,160000000,0.16,70451067,700,700,10048529449.591633,10.048529449591634,0.46967378
83,160000000,0.16,71034662,700,700,9961770643.221895,9.961770643221895,0.4735644133333333
84,160000000,0.16,69844699,700,700,10033569608.672468,10.033569608672469,0.4656313266666667
85,160000000,0.16,70180373,700,700,10029926706.060144,10.029926706060145,0.46786915333333334
86,160000000,0.16,68984044,700,700,9952140871.617117,9.952140871617116,0.45989362666666667
87,160000000,0.16,71261104,700,700,10069288976.509798,10.069288976509798,0.47507402666666665
88,160000000,0.16,69399614,700,700,9859970227.184586,9.859970227184586,0.46266409333333336
89,160000000,0.16,69657808,700,700,10017039679.785397,10.017039679785396,0.4643853866666667
90,160000000,0.16,69834549,700,700,10053559668.126583,10.053559668126583,0.46556366
91,160000000,0.16,71029767,700,700,10072812213.29592,10.072812213295919,0.47353178
92,160000000,0.16,68113468,700,700,9812981459.304087,9.812981459304087,0.45408978666666666
93,160000000,0.16,68187879,700,700,9726798889.896236,9.726798889896237,0.45458586
94,160000000,0.16,69721037,700,700,9887314285.710707,9.887314285710707,0.46480691333333335
95,160000000,0.16,70063418,700,700,9994495496.58467,9.994495496584669,0.46708945333333335
96,160000000,0.16,70612042,700,700,9887822390.495424,9.887822390495424,0.47074694666666667
97,160000000,0.16,69291735,700,700,9812909743.49473,9.81290974349473,0.4619449
98,160000000,0.16,70983395,700,700,9846795470.525974,9.846795470525974,0.4732226333333333
99,160000000,0.16,71433350,700,700,9906950280.541489,9.906950280541489,0.47622233333333336
100,160000000,0.16,299991821,6635,16000,2203281166.1540337,2.2032811661540337,1.9999454733333333
101,167999563,0.167999563,299960658,6635,16000,2206096799.850376,2.206096799850376,1.99973772
102,176397338,0.176397338,299969273,6684,16000,2186034182.627635,2.186034182627635,1.9997951533333334
103,185215398,0.185215398,299966555,6575,16000,2244388228.4128003,2.2443882284128005,1.9997770333333333
104,194474103,0.194474103,299990661,6572,16000,2227392970.268783,2.227392970268783,1.99993774
105,204197202,0.204197202,299971617,6643,16000,2208763912.941754,2.208763912941754,1.99981078
106,214405130,0.21440513,299967039,6677,16000,2209461089.8519073,2.2094610898519074,1.99978026
107,225123030,0.22512303,299982454,6574,16000,2240633358.7116046,2.2406333587116047,1.9998830266666667
108,236377864,0.236377864,299973242,6575,16000,2224823367.178466,2.2248233671784656,1.9998216133333333
109,248194648,0.248194648,299989437,6618,16000,2216576730.620656,2.216576730620656,1.99992958
